Nr,Sp,Peso_gr,Longitud_mm,Diametro_mm,Cond
402,ER,4.6,24.38,18.23,Q3
403,ER,4.52,23.74,17.88,Q3
404,ER,6.13,26.06,19.48,Q4
405,ER,5.32,25.58,18.93,Q4
406,ER,4.1,23.58,16.88,Q2
407,ER,4.46,23.99,17.85,Q2
408,ER,4.69,24.17,17.67,Q3
409,ER,4.78,24.73,18.22,Q3
410,ER,5.78,25.7,18.88,Q4
411,ER,5.18,26.16,17.51,Q4
412,ER,3.8,24.15,16.88,Q1
413,ER,3.37,24.98,15.28,Q1
414,ER,4.31,23.5,17.86,Q2
415,ER,4.28,24.27,17.25,Q2
416,ER,3.86,23.81,17.32,Q1
417,ER,3.4,22.84,15.34,Q1
418,ER,4.7,24.36,18.77,Q3
419,ER,5.39,25.73,18.87,Q4
420,ER,4.13,22.97,17.51,Q2
421,ER,4.22,23.25,17.6,Q2
422,ER,4.18,23.29,17.13,Q2
423,ER,4.46,25.2,17.6,Q2
424,ER,4.28,23.32,17.67,Q2
425,ER,4.86,25.62,17.99,Q3
426,ER,5,24.44,18.35,Q4
427,ER,2.67,22.99,16.44,Pobre
428,ER,5.22,22.96,19.11,Q4
429,ER,5.05,24.78,18.22,Q4
430,ER,3.86,23.66,16.03,Q1
431,ER,3.38,22.54,16.77,Q1
432,ER,4.57,25.54,17.86,Q3
433,ER,4.48,23.77,17.11,Q2
434,ER,4.17,24.64,17.49,Q2
435,ER,5.13,26.2,17.75,Q4
436,ER,4.31,25.94,17.4,Q2
437,ER,4.88,24.49,19.33,Q3
438,ER,3.6,23.18,17.08,Q1
439,ER,5.23,24.76,18.45,Q4
440,ER,4.68,25.22,17.67,Q3
441,ER,4.14,25.21,17.85,Q2
442,ER,5,24.29,18.2,Q4
443,ER,4.19,23.2,17.4,Q2
444,ER,3.17,24.66,17.81,Q1
445,ER,4.49,23.71,18.14,Q2
446,ER,3.21,23.84,15.06,Q1
447,ER,4.74,24.02,18.32,Q3
448,ER,3.1,23.04,15.72,Q1
449,ER,4.78,24.23,17.51,Q3
450,ER,4.03,23.35,17.74,Q1
451,ER,4.61,24.42,17.67,Q3
452,ER,3.8,24.21,17.4,Q1
453,ER,4.14,22.12,16.94,Q2
454,ER,3.45,23.19,16.5,Q1
455,ER,2.9,22.94,15.01,Q1
456,ER,2.97,22.77,15.46,Q1
457,ER,2.62,24.45,14.63,Pobre
458,ER,2.43,22.8,14.29,Pobre
459,ER,2.61,20.65,15,Pobre
460,ER,4.08,22.34,16.99,Q2
461,ER,5.66,23.42,19.06,Q4
462,ER,5.02,24.31,18.08,Q4
463,ER,4.78,22.5,18.04,Q3
464,ER,5.21,23.15,18.54,Q4
465,ER,5.07,22.36,18.4,Q4
466,ER,4.13,23.29,16.6,Q2
467,ER,4.69,23.25,17.41,Q3
468,ER,4.31,22.34,17.53,Q2
469,ER,5.78,22.45,19.33,Q4
470,ER,4.13,21.91,17.25,Q2
471,ER,4.56,23.41,17.73,Q3
472,ER,4.31,21.27,17.16,Q2
473,ER,4.16,22.04,17.07,Q2
474,ER,6.08,22.74,20.03,Q4
475,ER,4,22.37,17.11,Q1
476,ER,5.16,21.57,19.56,Q4
477,ER,5.29,23.14,18.57,Q4
478,ER,4.61,22.27,17.83,Q3
479,ER,4.62,22.65,17.69,Q3
480,ER,4.97,22.98,18.54,Q3
481,ER,4.93,24.22,18.18,Q3
482,ER,3.76,24.38,15.6,Q1
483,ER,4.21,22.34,17.35,Q2
484,ER,4.08,22.14,16.85,Q2
485,ER,5.11,23.44,18.93,Q4
486,ER,4.94,22.53,17.91,Q3
487,ER,4.87,21.13,18.61,Q3
488,ER,5.21,23.06,18.73,Q4
489,ER,4.24,21.06,17.65,Q2
490,ER,3.727,25,16.4,Q1
491,ER,4.583,23.25,17.98,Q3
492,ER,4.54,24.76,17.56,Q3
493,ER,3.998,25.55,16.84,Q1
494,ER,5.624,25.96,19.36,Q4
495,ER,4.247,27.77,19.07,Q2
496,ER,4.853,27.92,17.95,Q3
497,ER,4.241,25.04,16.53,Q2
498,ER,3.866,25.92,16.94,Q1
499,ER,3.647,22.38,16.13,Q1
500,ER,4.959,24.93,18.62,Q3
501,ER,3.818,24.05,16.46,Q1
502,ER,3.761,22.45,16.68,Q1
503,ER,4.298,24.38,16.7,Q2
504,ER,4.656,24.44,17.64,Q3
505,ER,3.256,24.82,18.34,Q1
506,ER,5.014,24.15,18.37,Q4
507,ER,4.978,24.06,17.85,Q4
508,ER,4.664,22.78,16.57,Q3
509,ER,4.266,25.06,17.62,Q2
510,ER,4.202,23.94,17.55,Q2
511,ER,4.148,24.41,18.24,Q2
512,ER,4.678,24.25,18.7,Q3
513,ER,5.086,26.28,17.81,Q4
514,ER,5.135,26.21,17.87,Q4
515,ER,5.44,23.99,19.01,Q4
516,ER,5.869,24.31,19.62,Q4
517,ER,5.504,25.74,19.21,Q4
518,ER,4.654,24.89,17.09,Q3
519,ER,5.487,24.72,19.87,Q4
520,ER,4.793,24.51,18.16,Q3
521,ER,5.76,24.31,19.9,Q4
522,ER,4.047,23.51,17.74,Q1
523,ER,4.481,24.49,18.94,Q2
524,ER,4.487,25.18,17.52,Q2
525,ER,5.53,23.13,17.5,Q4
526,ER,4.21,24.47,17.02,Q2
527,ER,2.671,24.52,15.83,Pobre
528,ER,4.054,24.73,18.52,Q1
529,ER,4.108,23.79,16.54,Q2
530,ER,3.77,23.22,16.51,Q1
531,ER,5.211,24.47,18.87,Q4
532,ER,4.93,23.65,18.02,Q3
533,ER,4.943,24.87,18.57,Q3
534,ER,6.021,24.78,19.75,Q4
535,ER,5.359,24.24,19.46,Q4
536,ER,3.253,24.01,16.02,Q1
537,ER,5.078,23.74,18.74,Q4
538,ER,5.301,25.13,18.63,Q4
539,ER,5.219,26.45,18.45,Q4
540,ER,4.307,23.51,18.16,Q2
541,ER,4.466,24.8,18.13,Q2
542,ER,4.229,25.29,16.94,Q2
543,ER,3.885,24.49,17.78,Q1
544,ER,4.71,24.63,18.01,Q3
545,ER,4.446,23.63,16.82,Q2
546,ER,4.496,23.98,17.74,Q2
547,ER,3.839,22.68,15.74,Q1
548,ER,5.204,24.85,18.52,Q4
549,ER,4.469,24.1,19.71,Q2
550,ER,5.736,25.33,18.79,Q4
551,ER,5.352,25.04,18.89,Q4
552,ER,5.584,24.45,21.06,Q4
553,ER,4.636,24.05,19.27,Q3
554,ER,4.923,25.01,18.35,Q3
555,ER,3.262,24.9,17.18,Q1
556,ER,4.807,23.75,18.34,Q3
557,ER,4.534,25.75,18.01,Q3
558,ER,4.581,24.21,18.52,Q3
559,ER,4.775,23.97,18.57,Q3
560,ER,4.728,25.77,17.57,Q3
561,ER,4.467,25.67,17.72,Q2
562,ER,3.918,24.57,17.79,Q1
563,ER,3.022,23.35,16.84,Q1
564,ER,4.381,24.09,17.65,Q2
565,ER,3.76,24.57,16.87,Q1
566,ER,4.963,24.85,17.67,Q3
567,ER,4.509,25.56,18.28,Q2
568,ER,4.34,24.09,18.07,Q2
569,ER,4.564,25.38,18.48,Q3
570,ER,4.011,24.44,17.2,Q1
571,ER,4.041,22.9,16.82,Q1
572,ER,4.468,22.68,18.36,Q2
573,ER,4.495,24.09,17.97,Q2
574,ER,5.569,25.53,19.71,Q4
575,ER,4.879,25.1,17.43,Q3
576,ER,5.202,24.45,18.81,Q4
577,ER,3.337,22.53,15.81,Q1
578,ER,4.925,24.61,18.3,Q3
579,ER,4.22,25.01,17.73,Q2
580,ER,4.935,25.55,17.75,Q3
581,ER,5.227,25.01,19.06,Q4
582,ER,3.826,23.53,17.46,Q1
583,ER,5.427,25.73,19.04,Q4
584,ER,4.826,25.73,19.15,Q3
585,ER,4.431,23.29,18.52,Q2
586,ER,4.39,25.17,17.43,Q2
587,ER,4.268,24.65,17.2,Q2
588,ER,4.604,24.97,19.3,Q3
589,ER,4.289,24.52,17.93,Q2
590,ER,4.606,23.06,19.36,Q3
591,ER,5.413,24.51,19.36,Q4
592,ER,4.705,24.82,18.12,Q3
593,ER,5.039,25.17,18.96,Q4
594,ER,4.729,24.04,18.94,Q3
595,ER,5.806,25.48,17.45,Q4
596,ER,4.527,23.36,17.16,Q3
597,ER,4.642,24.57,18.28,Q3
598,ER,3.116,25.14,17.87,Q1
599,ER,4.112,25.17,17.49,Q2
270,ER,3.26,22.94,16.16,Q1
273,ER,4.12,25.81,16.97,Q2
276,ER,4.26,24.27,17.52,Q2
279,ER,4.84,24.07,18.56,Q3
